ORIGINAL_TITLE,PLOT
The Gift of Chocolate,"Inspired by the ancient traditions of Central America, we capture the alluring alchemy of chocolate and its metamorphosis from tropical fruit to global delicacy. Narrated by Priyanka Chopra Jonas."
Killer Cop,"The case of James Duckett, who was convicted of the 1987 rape and murder of an 11-year--old girl, is examined."
The Perfect Weapon,The rise of cyber conflict as the primary way nations now compete and sabotage each other.
Sex Slaves in Texas,A violent pimp of a notorious sex-trafficking ring evades capture while authorities arrest the rest of the enterprise.
King In The Wilderness,"A look at the final years in the life of Martin Luther King, Jr."
Becoming Warren Buffett,"The legendary investor started out as an ambitious, numbers-obsessed boy from Nebraska and ended up becoming one of the richest and most respected men in the world."
Persona: The Dark Truth Behind Personality Tests,"Exploring the unexpected origins of America's obsession with personality testing, this documentary takes a look at the profound ways that ideas about personality have formed the world around us."
Ashley,"[HBO] HD. As Ashley prepares for a boxing match and her quinceanera, she must deal with pressure her family feels due to their immigration status."
My Wife is Missing,"Arkansas Realtor Beverly Carter disappears, leaving her car and belongings outside a home she was showing. When ""Beverly"" starts sending strange text messages to her family, they become suspicious of foul play."
The Hunting Ground,"An exposé of rape crimes on U.S. college campuses, their institutional cover-ups, and the devastating toll they take on students and their families."
Massachusetts,Tony looks closely at the 'other' Massachusetts - far away from the blue blood getaways of Nantucket or the urban sprawl of Boston.
DC Madam: The Woman Who Knew Too Much,""DC Madam"" Deborah Jean Palfrey threatened to expose names on her client list and was found hanging on her mother's property.
Terror at the Mall,A documentary detailing an indiscriminate terrorist attack that left 71 dead in Kenya.
Top Gear: The Worst Car in the History of the World,"Everyone has an opinion on bad cars. Now it's time to hear the ones that really count - ours. As it's the worst car in the history of the WORLD, we're out to name and shame the most rubbish car from a manufacturer which, frankly, should have known better. And we have a special, surprise fate in store for the car we pick as our biggest loser."
Episode #4.3,"In this edition: Kamala Harris, Gov. Pedro Pierluisi, Stacey Cunningham, Anthony Fauci."
The Out List,"A documentary about being among the LGBT community in modern society, told through interviews with LGBT celebrities and community leaders."
Predator Alert,"Aggressive predators seem notorious, but they perform a special significance in the animal kingdom which is their task to keep nature in great balance."
Fashion of the Future,"See how new technologies will transform fashion in 2050: 3D textile printing, intelligent clothes, new fibers, new sustainable materials that adapt to the body's needs. With a special guest JC de Castelbajac, the fashion designer."
City Dump: The Story of the 1951 CCNY Basketball Scandal,[HBO] HD. This documentary examines one of the darkest and saddest chapters in sports history: the CCNY basketball team game-fixing scandal.
Song of Parkland,"Filmed in the months following the shooting at Marjory Stoneman Douglas High School, while the Florida school community is grappling with the tragedy, Song of Parkland documents the dedication of drama teacher Melody Herzfeld and her theater students as they return to school and resolve to continue with their production."
Culture Shock,"In this installment in the ""State of Play"" series, acclaimed filmmaker Peter Berg trains his sights on the most successful professional sports organization in America: the National Football League. Many issues confront the sport, particularly the challenge of making the game safer."
The Satanists Next Door,"Not really what you're thinking. This group of individuals don't worship satan as a god, all being, but more as an angel to look up too because of his decisions. Thery don't sacrifice animals, drink blood, or participate in those other stereotypes. They want a free for all religion or nothing at all."
Wild lives of Khao Sok,"Khao Sok National Park is framed by karst sandstone formations. Mighty ghost-like shaped rocks mark the shores of lake Khao Sok, a huge reservoir on which only a very few fishermen are permitted to live. Ancient caves are found in the watery depths and in the mountainous heights."
Wide Awake,"Due to inadequate use of anesthetics, a young boy experiences ""intra-operative awareness"" during his own heart surgery, hearing every sound and movement of the procedure. The little boy is severely traumatized from this horrific accident. As a result, he ends up brutally murdering a young girl soon after the incident..."
Ingrid Bergman: In Her Own Words,A captivating look behind the scenes of the remarkable life of a young Swedish girl who became one of the most celebrated actresses of American and World cinema.
Family Secrets,"As personal scandal threatens his marriage and looming nuclear war undermines his administration, President John F. Kennedy must fight to protect the presidency, the country and the world."
Colombia,Tony will explore several regions of the country from the mountains down to the Caribbean coast to the coca leaf growing inlands formerly controlled by drug cartels.
The Glassmaker,This factual fairy tale follows the mesmerising process of glassmaker Bibi Smit as she attempts to sculpt a piece that can capture the movement of the wind in glass. Narrated by Zoe Kravitz.
Berlin,"In Berlin, an anomaly among German metropolises, Bourdain encounters an extremely accepting society teeming with unbridled creativity despite a grim history."
The Yosemite Murders: The Missing Women Part 1,"When in 1999, young women mysteriously disappear from Yosemite National Park, investigators determine foul play and a prime suspect emerges, then escapes."
Thought Crimes: The Case of the Cannibal Cop,"A probing look into the potential future of ""thought policing"" through the headline-making case of the NYPD ""Cannibal Cop,"" who was charged with conspiring to kidnap and eat women."
