VALUE,PLOT
Sport,"Finale: After the competition suddenly ends, the surfers reflect on their passions for tow-surfing."
Crime,"Mark Vicente and Sarah Edmondson, high-ranking former NXIVM leaders, describe the dream and mission of NXIVM to build a better world. Bonnie, Mark's wife, tells him she is worried about the organization."
History,Television experiences major milestones in the 1960s. The landscape of television changes.
Adventure,"Jeremy Clarkson subjects the new Kia Cee'd to a road test involving eels, curry, a rock legend, an American cop, and a rather unusual game of rugby involving James May. Meanwhile, Richard Hammond is in Mexico for a road test of the Mastretta sports car, a trio of hot hatchbacks tear it up on the test track and another top celebrity takes their turn as the star in the Reasonably Priced Car."
Comedy,"Jeremy Clarkson subjects the new Kia Cee'd to a road test involving eels, curry, a rock legend, an American cop, and a rather unusual game of rugby involving James May. Meanwhile, Richard Hammond is in Mexico for a road test of the Mastretta sports car, a trio of hot hatchbacks tear it up on the test track and another top celebrity takes their turn as the star in the Reasonably Priced Car."
Reality-TV,"Jeremy Clarkson subjects the new Kia Cee'd to a road test involving eels, curry, a rock legend, an American cop, and a rather unusual game of rugby involving James May. Meanwhile, Richard Hammond is in Mexico for a road test of the Mastretta sports car, a trio of hot hatchbacks tear it up on the test track and another top celebrity takes their turn as the star in the Reasonably Priced Car."
Talk-Show,"Jeremy Clarkson subjects the new Kia Cee'd to a road test involving eels, curry, a rock legend, an American cop, and a rather unusual game of rugby involving James May. Meanwhile, Richard Hammond is in Mexico for a road test of the Mastretta sports car, a trio of hot hatchbacks tear it up on the test track and another top celebrity takes their turn as the star in the Reasonably Priced Car."
Adventure,"Jeremy Clarkson and James May pay tribute to quirky Swedish car maker Saab. Meanwhile, Richard Hammond races a rocket-powered flying man against a rally-spec Skoda. Plus, current Doctor Who, Matt Smith, is the star in the Reasonably Priced Car."
Comedy,"Jeremy Clarkson and James May pay tribute to quirky Swedish car maker Saab. Meanwhile, Richard Hammond races a rocket-powered flying man against a rally-spec Skoda. Plus, current Doctor Who, Matt Smith, is the star in the Reasonably Priced Car."
Reality-TV,"Jeremy Clarkson and James May pay tribute to quirky Swedish car maker Saab. Meanwhile, Richard Hammond races a rocket-powered flying man against a rally-spec Skoda. Plus, current Doctor Who, Matt Smith, is the star in the Reasonably Priced Car."
Talk-Show,"Jeremy Clarkson and James May pay tribute to quirky Swedish car maker Saab. Meanwhile, Richard Hammond races a rocket-powered flying man against a rally-spec Skoda. Plus, current Doctor Who, Matt Smith, is the star in the Reasonably Priced Car."
Animation,"[HBO] HD. A companion to HBO Films' ""O.G.,"" this documentary is co-directed by 13 incarcerated men who reflect on their lives."
Crime,Uncovering how Anna Nicole Smith's lavish lifestyle may have contributed to her mysterious death.
Mystery,Uncovering how Anna Nicole Smith's lavish lifestyle may have contributed to her mysterious death.
Adventure,"Bourdain travels to the bottom of the world to experience the serene beauty and mystery of the driest, coldest, windiest place on earth."
History,"VCRs, remote controls, family sitcoms, adult dramas, and prime-time soaps all changed TV enjoyment."
Adventure,"Bourdain takes a personal journey through this formerly bohemian New York City neighborhood, as he meets, shares meals and reflects with music, film and art trailblazers."
Short,"While nodding to what we know and love about Chinese Americans, Kamau goes well beyond fortune cookies and kung fu to follow a complex and thriving culture whose roots lie deep in Chinatown."
History,"While nodding to what we know and love about Chinese Americans, Kamau goes well beyond fortune cookies and kung fu to follow a complex and thriving culture whose roots lie deep in Chinatown."
Reality-TV,"While nodding to what we know and love about Chinese Americans, Kamau goes well beyond fortune cookies and kung fu to follow a complex and thriving culture whose roots lie deep in Chinatown."
Sport,"While nodding to what we know and love about Chinese Americans, Kamau goes well beyond fortune cookies and kung fu to follow a complex and thriving culture whose roots lie deep in Chinatown."
Crime,"A former trouble-maker sits on Ohio death row for killing an elderly couple, while a desperate team of journalists, attorneys, and former law enforcement make the case of his innocence."
History,"Global terrorism is on the rise and is brought to every home in America through ever increasing media coverage. The Weather Underground, Symbionese Liberation Army, hijackings and the attacks at the 72' Olympic Games in Munich are covered."
Drama,"A single playoff berth is on the line, and an NFL star returns to fire up both teams. But a tragic act casts a dark cloud over the Muck."
Sport,"A single playoff berth is on the line, and an NFL star returns to fire up both teams. But a tragic act casts a dark cloud over the Muck."
Adventure,A look at a sunken city of pharaohs in Egypt.
Drama,"The film follows the daily life of Vanda Duarte, a heroin addict in Lisbon, and the community she lives in."
Short,"A conversation between a boy and his great-grandfather, an Auschwitz survivor, is woven with historical footage and animation to tell a heartbreaking story of Jewish life in Eastern Europe, sharing lessons from the Holocaust with a new generation."
Drama,"After the fall of Troy to the Greek invading army, the Trojan women weep over their lost city, families, and honor, as they are taken away as Greek slaves."
Biography,A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.
History,A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.
Sport,A documentary on the 1924 Olympic Game in Paris.
News,"Guests: Alex Azar, United States Secretary of Health and Human Services; Christopher Krebs, Former CISA Director."
Talk-Show,"Guests: Alex Azar, United States Secretary of Health and Human Services; Christopher Krebs, Former CISA Director."
Adventure,"Freddie Flintoff heads to Iceland to compete in the world's maddest motorsport, while Paddy McGuinness gets to grips with the new Toyota Supra. Chris Harris investigates the story of the Lotus 79, the most beautiful F1 car of all time."
